description,idx,B01,B02,B03,B04,B05,B06,B07,B08,B8A,B09,B10,B11,B12,QA10,QA20,QA60,Cropland,Longitude,croptype,desc,invalid
,2040,1686,1504,1657,1859,2270,3214,3592.5,3477,3780,1771.5,156,3106,2220,0,0,1024,96,8.943939095,Barley/Wheat,Rainfed-SC-wheat-VLS,0
,2038,2298,1985,2023,2026,2369,3145,3502,3313,3579,2056,235,2766,1821,0,0,1024,99,8.876084742,Barley/Wheat,Rainfed-SC-barley-LS,0
,2039,2755,2617,2625,2709,3076,4052,4419,4357,4529,2528,202,3118,2356,0,0,1024,70,8.913881387,Barley/Wheat,Rainfed-SC-barley-LS,0
,2303,1939,1437,1462,1377,1923,3385,3877,4023,4030,1822,260,2055,1413,0,0,1024,99,8.880611365,Vegetable,Rainfed-SC-peas-MS,0
,2033,2422,2249,2130,1933,2325,3887,4579,4456,4779,2381,372,2146,1541,0,0,1024,100,8.810354442,Barley/Wheat,Rainfed-SC-wheat/oats-VLS,1
,2142,1697,1482,1440,1478,1836.5,2525.5,2755,2796,3049.5,1501.5,275,2700.5,2192.5,0,0,1024,10,8.627377164,Non-cropland,Forests/shrublands-VLS,0
,2178,1942,1722,1816,1786,2214,3219,3588,3530,3825,1792,561,2625,1850,0,0,1024,100,8.6019564,Oats,Rainfed-SC-oats-VVLS,0
,2034,1759.5,1503,1447,1315.5,1699,2937,3576,3526,3826,1899.5,394,2150,1303,0,0,1024,100,8.664743576,Barley/Wheat,Rainfed-SC-wheat-VLS,0
,2037,2301,1696,1744,1555,2053,3480,3933,3893,4204,2367,432,2536,1663,0,0,1024,83,8.792860352,Barley/Wheat,Rainfed-SC-barley-LS,0
,2036,2329,1735,1884,2033,2355,2997,3348,2848,3488,1895,491,2872,2284,0,0,1024,98,8.661117118,Barley/Wheat,Rainfed-SC-wheat-VLS,0
,2035,1825,1649,1653,1748,2044,2589,2822,2677,2921,1394,335,3048,2033,0,0,1024,99,8.554146737,Barley/Wheat,Rainfed-SC-barley-LS,0
,2218,1491.5,1391,1561,1600,2015,3025,3446.5,3382,3550.5,1734.5,59,3160,2170,0,0,512,29,9.017646822,Orchard,Irrigated-orchards (aple) / Barren-SC-MS,0
,2084,1767,1567,1777,1921,2351.5,3213.5,3589,3474,3709,1662.5,222,3448,2387,0,0,1024,90,9.039664105,Barley/Wheat,Rainfed-wheat-SC-MS,0
,2083,1524,1289,1305,1191,1695,3132,3595,3556,3853,1962,169,2403,1550,0,0,1024,92,9.14994386,Barley/Wheat,Rainfed-wheat-SC-MS,0
,2219,1697.5,1592,1825,2418.5,2623,2957.5,3190.5,3109,3344.5,1707.5,64,4183,3499,0,0,1024,40,9.060646032,Orchard,Rainfed- orchards (olive) /Barren -SC-MS,0
,2171,1885,1892,2158,2817,3045,3497,3778.5,3765.5,4039,1890,31,4665,3630.5,0,0,512,93,9.297455692,Non-cropland,Shrubland,0
,2092,1371,1183,1349,1414,1790,2804,3156,3073,3318,1655,27,3047,1935,0,0,512,90,9.257675389,Barley/Wheat,Rainfed -Wheat -SC-SS,0
