idx,label,scale,Longitude,Latitude,idx2,date,cropland,trees,grasses,shrubs,water,other,desc
300,Rainfed-SC-wheat-LS,Ideal spectra,35.51831889910,-0.98075821818,184,10-Jun-14,99,1,,,,,
300,Rainfed-SC-wheat-VLS,Ideal spectra,35.55287689690,-0.99346756446,185,10-Jun-14,100,,,,,,
300,Shrublands/trees,,35.56087378890,-0.98704149049,186,10-Jun-14,,,,100,,,
155,Rainfed-SC-wheat-VLS,,35.58343989460,-1.02418289216,187,10-Jun-14,100,,,,,,
157,Rainfed-SC-maize-VLS,"VLS, Ideal",35.63514883470,-1.00340677722,188,10-Jun-14,100,,,,,,
159,Rainfed-SC-wheat-VLS,,35.70784402700,-1.03059818930,189,10-Jun-14,100,,,,,,
300,Rainfed-SC-wheat-VLS,,35.73522292680,-1.04380175020,190,10-Jun-14,100,,,,,,
157,Shrublands/trees,,35.84230189850,-1.10025395487,191,10-Jun-14,,10,,90,,,
159,Shrublands/barrenlands,,35.86885001090,-1.09959074427,192,10-Jun-14,,,,,,,
161,Rainfed-SC-wheat-LS,,35.90024267270,-1.09163840783,193,10-Jun-14,,,,98,,2,
163,Rainfed-SC-wheat-LS,,35.95674771060,-1.08824407596,194,10-Jun-14,100,,,,,,
300,Rainfed-SC-wheat-LS,,35.97615767940,-1.12069879603,195,10-Jun-14,95,5,,,,,
165,Shrublands/trees_VLS,Ideal spectra,35.98284550610,-1.12604905739,196,10-Jun-14,,,,100,,,
162,Rainfed-SC-maizet-LS,,36.01407449360,-1.10353411581,197,10-Jun-14,100,,,,,,
163,Shrublands/rangeladns,Ideal signature,36.03689967980,-1.10578865527,198,10-Jun-14,,,,100,,,
300,Rainfed-SC-wheat-LS,,36.05927584810,-1.10967340671,199,10-Jun-14,99,1,,,,,
300,Rainfed-SC-wheat/maize-LS,,36.07948548000,-1.10073217879,200,10-Jun-14,97,3,,,,,
300,Settlements,,36.08450940860,-1.09666106427,201,10-Jun-14,,,,,,100,
165,Rainfed-SC-whea/maizet-LS,"W-70,m-30",36.10486498120,-1.09475543620,202,10-Jun-14,100,,,,,,
166,Rainfed-SC-wheat-LS,VLS,36.12911430200,-1.09233347919,203,10-Jun-14,100,,,,,,
166,Rainfed-SC-wheat-LS,LS,36.17907687150,-1.10143380436,204,10-Jun-14,100,,,,,,
300,Rainfed-SC-wheat-LS,,36.19808049170,-1.10982037854,205,10-Jun-14,100,,,,,,
300,Rainfed-SC-maize-VLS,,36.24713161780,-1.10296158178,206,10-Jun-14,100,,,,,,
169,Rainfed-SC-maize-LS,,36.26380552390,-1.09389170976,207,10-Jun-14,100,,,100,,,
300,Rangleands,,36.30585866020,-1.07418316785,208,10-Jun-14,,,,,,,
171,Barrenlands/rangelands,,36.38226433520,-1.04627039498,209,10-Jun-14,0,,,100,,,
174,Rainfed-SC-maize-LS,,36.52070223680,-1.01019528295,210,10-Jun-14,99,,,,,1,
176,Rainfed-SC-maize-LS,,36.55828397300,-0.99050249249,211,10-Jun-14,98,,,,,2,
173,Rainfed-SC-maize-MS,"M-70,T-20,sh-10",36.59519119270,-0.99103400602,212,10-Jun-14,70,20,,10,,,
300,Forests/shrubladns,,36.60420137850,-1.00944933140,213,10-Jun-14,,,,100,,,
178,Shrublands/rangelands,,36.59903783620,-1.05866522958,214,10-Jun-14,,,,100,,,
200,Forests/shrubs/trees,,36.80957650930,-1.24478871203,215,10-Jun-14,,,,100,,,
201,Shrubladns/grasses,,36.89891846430,-1.33846541199,216,11-Jun-14,,,20,80,,,
202,Rangelands/barrenlands,,36.89768345380,-1.37284221168,217,11-Jun-14,,,,100,,,
202,Shrubalnds/rangelands,,37.00629823050,-1.45465495042,218,11-Jun-14,,,,100,,,
