idx,B1,B10,B11,B2,B3,B4,B5,B6,B7,B8,B9,BQA,amplitude,phase,class,croptype 
232,0.123278968,301.3904724,299.9449463,0.103930727,0.096470311,0.093641162,0.256751448,0.249616683,0.15019089,0.094046876,0.00152575,20480,0.094961914,2.221708171,1,Sugarcane
233,0.11225608,302.2348022,300.647583,0.091193289,0.077632509,0.061489135,0.233685493,0.146514237,0.077605076,0.070287734,0.001160913,20512,0.153821794,2.462672236,1,Sugarcane
234,0.112782724,308.0270996,306.9880371,0.096506894,0.08676073,0.082289845,0.197476968,0.231740832,0.173721492,0.0840206,0.001726023,20480,0.146872538,1.846217854,0,Others
235,0.108721301,299.7324219,298.4403076,0.084905803,0.066614658,0.040929679,0.292911053,0.138214409,0.062946126,0.057353824,0.001094313,20512,0.045990621,1.90527804,0,Others
236,0.125849515,304.7390747,303.0628052,0.109304689,0.101362444,0.099801205,0.24597238,0.273652732,0.189343676,0.101707891,0.001504358,20480,0.056419255,-1.035001971,1,Sugarcane
237,0.133857816,303.1628418,299.6634521,0.111494444,0.090569124,0.075934142,0.206366286,0.19878839,0.164169922,0.091434196,0.001427935,20480,0.111117558,1.695482717,1,Sugarcane
238,0.110221088,304.1087036,302.399353,0.09025415,0.078599021,0.06075234,0.243757129,0.198770523,0.118817821,0.069969997,0.001201389,20512,0.098038242,2.848536204,0,Others
239,0.140739173,293.3803101,292.734436,0.118547842,0.080462441,0.059740476,0.050815903,0.039819133,0.031436156,0.072762348,0.001137218,20512,0.098772783,0.616092971,0,Others
240,0.116048492,305.93927,304.918457,0.101219401,0.091772795,0.098553941,0.168703929,0.21642819,0.151989222,0.092162564,0.001558176,20480,0.179357607,2.241669474,0,Others
241,0.120272093,301.3759766,299.7764587,0.097453758,0.083503,0.057863168,0.232509851,0.159620523,0.087466538,0.073336639,0.00163712,20512,0.161539448,0.519842441,0,Others
242,0.113681406,308.1358948,306.9286499,0.097512193,0.095727816,0.113717511,0.231719375,0.240551382,0.190307304,0.099474669,0.001173841,20480,0.067767558,0.750592146,0,Others
243,0.109995067,299.2824097,298.951355,0.090033114,0.075910226,0.060301699,0.243319541,0.178493917,0.098754913,0.068371922,0.001416165,20512,0.149225041,1.996893804,0,Others
244,0.118374631,301.0626831,299.895874,0.100541912,0.098572373,0.088178352,0.266195595,0.194163859,0.100843474,0.091540903,0.001392859,20480,0.046121076,2.67695457,1,Sugarcane
245,0.150061756,306.0689087,302.4859924,0.128610611,0.107087225,0.096999645,0.226501048,0.248045802,0.159750715,0.10518527,0.001901949,20480,0.073520056,2.146989439,0,Others
246,0.122855037,306.2926025,304.4111328,0.106499568,0.099018298,0.108271614,0.229538411,0.243417606,0.180415183,0.09847188,0.001308351,20480,0.045206836,-1.63673139,0,Others
247,0.141458139,303.6231384,301.7435303,0.126510844,0.10755609,0.107396193,0.226634726,0.273976743,0.215162456,0.112899348,0.0014835,20480,0.115316889,0.77915551,1,Sugarcane
248,0.118676499,305.4151306,304.177063,0.104642928,0.096983492,0.102709107,0.188670456,0.251922786,0.186653033,0.099865906,0.001707093,20480,0.137485992,2.687120306,0,Others
249,0.116770193,307.1185303,305.7137451,0.100665078,0.09097378,0.092717141,0.182639778,0.246874258,0.187071711,0.094067663,0.001814135,20480,0.082385807,2.730756729,0,Others
250,0.109814972,308.3660278,306.383606,0.092656806,0.084916338,0.082402736,0.2215745,0.230109543,0.170984775,0.093569078,0.001440399,20480,0.156528868,1.392419005,0,Others
251,0.10996858,299.4580688,298.6115112,0.085641265,0.067485243,0.04292722,0.270021588,0.14345175,0.064539596,0.059182763,0.001167064,20512,0.125139371,-1.420357543,0,Others
252,0.140414849,293.4720764,292.8823853,0.125132397,0.109426096,0.081145324,0.050627522,0.037323076,0.030517796,0.094049454,0.001171685,20512,0.078924983,-0.406978215,0,Others
253,0.11542172,308.8477173,307.1679688,0.09883628,0.093911752,0.104951262,0.22012946,0.235967353,0.202230394,0.106686622,0.001454985,20480,0.149083127,1.14948131,1,Sugarcane
254,0.116035014,311.0309448,309.3777771,0.100572199,0.086482346,0.088855766,0.171703637,0.274854004,0.20911938,0.088126451,0.001643385,20480,0.148207913,-0.10382436,0,Others
255,0.13422285,300.2821655,298.7949219,0.116980344,0.112854809,0.097814977,0.294243723,0.233585462,0.134578884,0.099159814,0.00144591,20480,0.019091163,2.264901507,1,Sugarcane
256,0.118356965,310.4451599,308.6365967,0.102962032,0.09669733,0.120637044,0.190725923,0.292994499,0.262302786,0.104366764,0.001609583,20480,0.084249494,0.132129829,0,Others
257,0.127559692,309.8471069,308.0596924,0.117763773,0.119367778,0.152022019,0.231041551,0.284671962,0.24866271,0.134219706,0.001721365,20480,0.07377548,2.591169177,1,Sugarcane
258,0.148737609,306.0956726,302.6507568,0.126829028,0.104077809,0.097168177,0.228004187,0.202207595,0.144283667,0.102801815,0.001566123,20480,0.113075124,1.546059396,1,Sugarcane
259,0.145972282,302.453064,300.342865,0.131738946,0.13200596,0.152636096,0.269627243,0.31087175,0.270613432,0.128311127,0.001142032,20480,0.061096861,1.10296822,1,Sugarcane
