idx,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,class,latitude,longitude,desc
287,0.3289,0.2113,0.17195,0.1921,0.21975,0.25445,0.33775,0.37295,0.3609,0.40115,2,36.15010061,9.330213982,
289,0.36005,0.24365,0.1608,0.18795,0.2161,0.2558,0.3405,0.38895,0.3893,0.4129,2,36.23361932,9.272241956,
290,0.2031,0.1272,0.1239,0.125,0.1416,0.1629,0.2526,0.2969,0.2882,0.3232,2,36.25615863,9.264313471,
294,0.26925,0.1551,0.12015,0.12835,0.12265,0.16665,0.28245,0.32945,0.31875,0.35135,2,36.37211111,9.536472222,
298,0.3136,0.2185,0.1401,0.1496,0.1773,0.2152,0.2746,0.3123,0.3061,0.3408,2,36.5323989,9.729821079,
300,0.24895,0.161,0.1084,0.10725,0.1144,0.14935,0.2759,0.3445,0.3413,0.3899,2,36.63958344,10.88150763,
303,0.40055,0.30775,0.14985,0.15635,0.196,0.21005,0.2426,0.2843,0.2804,0.3224,2,36.63117052,10.65964613,
309,0.34385,0.2454,0.1466,0.1554,0.2033,0.2146,0.29845,0.3219,0.31795,0.3589,2,36.54287013,9.865470305,
312,0.396,0.2806,0.1595,0.182,0.2325,0.2563,0.3038,0.335,0.3229,0.3532,2,36.70574838,10.06710936,
4,0.2272,0.13455,0.12295,0.12595,0.10495,0.1588,0.2746,0.31285,0.3089,0.3514,0,37.05361111,10.02433333,
6,0.2274,0.1189,0.1147,0.1178,0.098,0.1351,0.2719,0.3004,0.2943,0.3234,0,37.11045408,9.995044215,
19,0.2407,0.1344,0.1433,0.1257,0.1084,0.1197,0.2785,0.3193,0.3043,0.3384,0,36.86023508,9.308811441,
21,0.21975,0.11115,0.10645,0.1068,0.09675,0.1281,0.22615,0.25725,0.24645,0.27295,0,36.83205357,9.187194038,
26,0.1963,0.0858,0.1079,0.1153,0.0901,0.1462,0.2885,0.3356,0.3199,0.3517,0,36.64228412,8.954336058,
61,0.18145,0.10435,0.10675,0.1068,0.0934,0.1274,0.2489,0.28175,0.2751,0.3097,0,36.23018135,8.880611365,
100,0.4045,0.29625,0.1657,0.1979,0.24445,0.2545,0.2736,0.29175,0.27,0.2971,0,36.1025,10.38416667,
114,0.2835,0.18065,0.14085,0.15785,0.1667,0.19895,0.3332,0.38025,0.35675,0.40035,0,35.95174005,10.02837403,
144,0.40275,0.3029,0.13555,0.1492,0.2007,0.2261,0.29035,0.32475,0.3234,0.36765,0,36.99364255,10.92488739,
147,0.2861,0.1804,0.11995,0.12315,0.14745,0.18435,0.24125,0.27625,0.28255,0.3249,0,36.98262987,10.98425729,
271,0.2236,0.1351,0.1295,0.1386,0.1581,0.1933,0.2774,0.3165,0.3165,0.3576,0,35.70207527,10.03008382,
291,0.2881,0.1959,0.1389,0.15065,0.18705,0.20965,0.26345,0.28715,0.2613,0.29575,0,36.30786838,9.29298038,
293,0.2449,0.1504,0.1109,0.1171,0.1053,0.1544,0.2715,0.3124,0.3073,0.3422,0,36.38484561,9.447408393,
299,0.30855,0.2155,0.11365,0.1182,0.14495,0.1891,0.2608,0.289,0.277,0.3143,0,36.71266105,10.92961941,
13,0.15575,0.08325,0.0935,0.0841,0.0657,0.10295,0.21445,0.25235,0.25,0.2791,0,36.96582883,9.522460054,
