description,idx,B01,B02,B03,B04,B05,B06,B07,B08,B8A,B09,B10,B11,B12,QA10,QA20,QA60,Cropland,Longitude,croptype,desc,invalid
,2099,1887.5,1854.5,2067,2560.5,2538.5,2761,3021.5,2810.5,3260.5,543,16,3934.5,2873,,,,95,10.05582155,Barley/Wheat,Irrigated-Barley-SC-MS,0
,2087,1543,1362.5,1484.5,1656,1887.5,2600.5,3016.5,2773.5,3160,500,15.5,2748,1683.5,,,,100,10.07578293,Barley/Wheat,Irrigated-Wheat-SC-LS,0
,2285,2075,2047,2360.5,2992.5,2968.5,3235.5,3530,3280,3781.5,664,19,4460.5,3226.5,,,,90,9.989020946,Orchard,Irrigated-Olive Orchards/Wheat-SC-SS,0
,2284,1727,1823.5,2197,2692,2523,2839,3095,3065,3097.5,577,13,3711.5,2470.5,,,,81,9.983399136,Orchard,Irrigated- Olive Orchards/Wheat- SC-MS,0
,2090,1613,1560,1791.5,2021.5,1995.5,2525,2820.5,2732.5,3025,491,15,3145,2138,,,,80,10.03890771,Barley/Wheat,Irrigated-Barley/orchards (Olive)-DC-SS,0
,2089,1645.5,1544.5,1759,2167.5,2204.5,2384,2641.5,2426,2741.5,476.5,14.5,3480,2496.5,,,,90,10.03747906,Barley/Wheat,Irrigated-Wheat/orchards (Olive)-DC-MS,0
,2088,1572.5,1423,1535,1870,1931,2183.5,2444,2279.5,2591,465,16,3355.5,2367.5,,,,97,10.04217324,Barley/Wheat,Irrigated-Wheat-SC-LS,0
,2262,1580,1455,1499.5,1727,1774,2208,2513,2349,2727,468,13.5,2970,2074,,,,58,10.06040441,Orchard,Irrigated-orchards (Olive)/Wheat-DC-SS,0
,2086,1672,1545,1710,2107,2150,2365,2656,2445,2831,481,18,3747,2590,,,,99,10.29656461,Barley/Wheat,Rainfed-Wheat-SC-SS,0
,2085,1905,1836,2010,2384,2398,2627,2880,2697,3130,523,14,4215,2746,,,,100,10.35796435,Barley/Wheat,Rainfed-Wheat-SC-MS,0
,2261,1702,1580,1699,2200,2252,2715,3066,2807,3319,546,18,3874,2765,,,,,10.53249876,Orchard,Rainfed-orchards (olive)/Barren-SC-LS,0
,2260,1802,1726,2018,2653,2809,3249,3550,3254,3790,644,18,4566,3306,,,,,10.6142022,Orchard,Rainfed-orchards (olive)/Barren-SC-LS,0
,2267,1803,1762,2057,3039,3183,3568,3887,3585,4170,730,20,4816,3676,,,,,10.0323279,Orchard,Rainfed-orchards (Amendier)/Barren-SC-LS,0
