idx,B3,B4,B5,crop,nd,slope,type
794,0.11143845,0.10666097,0.27567127,0,-0.06840359,8.226863,Non-Crop
795,0.17595743,0.20671873,0.34721693,0,-0.012355236,5.806086,Non-Crop
796,0.18447068,0.21519023,0.35155955,1,-0.005468709,5.547545,Crop
797,0.21691057,0.25523633,0.37471166,0,0.005381519,5.7594566,Non-Crop
798,0.20175858,0.24840623,0.37480503,1,-0.007492756,2.4745543,Crop
799,0.15361598,0.18739763,0.38965675,1,-0.02567148,1.8543341,Crop
800,0.18372017,0.21855682,0.32439438,0,-0.022467343,4.420459,Non-Crop
801,0.16796686,0.22128244,0.35142043,1,-0.023827365,2.292589,Crop
802,0.26003748,0.3165706,0.43127006,0,0.006109187,4.4332213,Non-Crop
803,0.21381915,0.2634098,0.3721678,0,-0.007539518,6.519592,Non-Crop
804,0.15288356,0.19446494,0.33241493,1,-0.036520787,3.0101733,Crop
805,0.1318294,0.14089303,0.36087245,0,-0.07694479,3.4613557,Non-Crop
806,0.20396626,0.25276548,0.37532386,0,-0.003397663,1.4772769,Non-Crop
807,0.20654152,0.26407996,0.36987624,0,3.80E-04,4.7665873,Non-Crop
808,0.16959816,0.20506354,0.34279576,0,0.011516853,0.92740995,Non-Crop
809,0.12965298,0.13509826,0.31049415,0,-0.048781414,12.245008,Non-Crop
810,0.12917896,0.13834485,0.26691183,0,-0.051560394,2.9528275,Non-Crop
811,0.16433829,0.18107462,0.34557927,1,-0.016784301,2.7802885,Crop
812,0.11198035,0.0778265,0.042886548,0,-0.052175157,0,Non-Crop
813,0.1871431,0.22774756,0.33445588,0,-0.021910727,4.4209027,Non-Crop
814,0.15485981,0.17226037,0.31131786,0,-0.023373673,2.3149626,Non-Crop
815,0.13920125,0.15196207,0.26335892,0,-0.03903433,8.258541,Non-Crop
816,0.18114612,0.21861985,0.3648303,0,-0.01920443,3.0104637,Non-Crop
817,0.13072975,0.13957745,0.28933665,0,-0.059345,2.1833055,Non-Crop
818,0.16032737,0.17333353,0.32737285,0,-0.03402753,6.396187,Non-Crop
819,0.17561118,0.19901113,0.3388185,0,-0.019891556,15.7472515,Non-Crop
820,0.19629891,0.24711351,0.38237512,0,-3.59E-04,5.1679807,Non-Crop
821,0.17415242,0.20648706,0.33919314,1,-0.002930371,2.489245,Crop
822,0.1760963,0.20133652,0.30719516,0,-0.019628283,11.20163,Non-Crop
823,0.1559382,0.19364998,0.3317136,0,-0.023799596,0,Non-Crop
824,0.16119415,0.18423675,0.34053007,0,-0.025398545,1.1591607,Non-Crop
825,0.1088227,0.10431993,0.26470956,0,-0.055975106,9.702743,Non-Crop
826,0.1531418,0.18040174,0.3052185,1,-0.017314631,0.92740995,Crop
827,0.17199942,0.21167202,0.33004555,0,-0.009341773,3.9186273,Non-Crop
828,0.16233699,0.1819523,0.2652247,1,-0.02742138,7.1842146,Crop
829,0.1630513,0.17719147,0.31715834,1,-0.021993142,1.4746429,Crop
830,0.29050568,0.32233402,0.39179808,1,0.014052386,4.437892,Crop
831,0.15457469,0.17091155,0.28746685,0,-0.02666763,7.4160056,Non-Crop
832,0.158171,0.19027765,0.3767951,0,-0.03936278,2.4869337,Non-Crop
833,0.18262354,0.23641531,0.35453337,1,-0.0073888,5.8346915,Crop
834,0.16718166,0.19809881,0.29249167,0,-0.023979174,15.279455,Non-Crop
835,0.18464093,0.20124836,0.30816662,1,-0.017029326,2.4717896,Crop
836,0.20669559,0.26032636,0.39967942,1,-0.001127422,4.675253,Crop
837,0.21303764,0.26128614,0.38277853,0,0.003089165,7.135264,Non-Crop
838,0.1899207,0.21544047,0.3581738,1,0.019214142,1.4790697,Crop
839,0.20671001,0.24401885,0.3613678,1,-0.004914046,0,Crop
840,0.16762759,0.18361881,0.2969612,0,-0.02400218,8.961024,Non-Crop
841,0.14626431,0.16023894,0.25750822,0,-0.04479805,11.116459,Non-Crop
842,0.17994161,0.20131636,0.32704479,0,-0.01638493,3.615168,Non-Crop
843,0.24494876,0.28068787,0.3822112,0,0.008260758,10.645141,Non-Crop
844,0.15379392,0.17440717,0.33312526,0,-0.03876648,5.9130607,Non-Crop
845,0.18072268,0.22222668,0.3047035,0,-0.015485949,6.8103127,Non-Crop
846,0.23878235,0.25339866,0.35264298,0,0.01260073,1.1563716,Non-Crop
847,0.1801847,0.22490714,0.35253963,0,-0.020410538,0.92740995,Non-Crop
848,0.17445002,0.20590663,0.35755613,1,0.002763184,1.8543341,Crop
849,0.16713873,0.19861546,0.34227315,0,-0.033722274,3.8809032,Non-Crop
850,0.21145807,0.25873095,0.36530292,0,-0.005643484,0.92740995,Non-Crop
851,0.10085742,0.08640271,0.30840862,0,-0.07258283,29.776146,Non-Crop
852,0.18447523,0.21535408,0.32007065,1,-0.014143956,3.0070777,Crop
853,0.2104361,0.24427828,0.41682953,0,0.03442735,3.922143,Non-Crop
854,0.144274,0.1674132,0.3269987,1,-0.040342685,2.3125112,Crop
855,0.20379837,0.22316699,0.3299545,1,-0.014860358,1.4826587,Crop
856,0.14084464,0.16767108,0.28429922,0,-0.031375512,13.595562,Non-Crop
857,0.18248437,0.20343657,0.28801286,0,-0.026041918,2.185832,Non-Crop
858,0.17994446,0.21986048,0.39009535,0,-0.009459115,5.745883,Non-Crop
859,0.1287494,0.115283415,0.14477152,0,-0.055321034,1.4832077,Non-Crop
860,0.15130934,0.17397742,0.30064064,1,-0.033069104,5.05513,Crop
861,0.13660073,0.1561772,0.34615448,1,-0.057870142,1.1552132,Crop
862,0.1148283,0.11583173,0.24905576,0,-0.05432767,6.5651937,Non-Crop
863,0.23645626,0.27427635,0.36420512,0,-0.006905558,13.324211,Non-Crop
864,0.26248956,0.28687626,0.38267362,0,0.007484932,2.3170114,Non-Crop
865,0.13478084,0.10286052,0.05351027,0,-0.043231003,0,Non-Crop
866,0.20881885,0.23184964,0.31967932,0,-0.017473765,1.4828122,Non-Crop
867,0.25708336,0.28916833,0.33306235,0,0.007392797,3.6152697,Non-Crop
868,0.16017874,0.17672613,0.2807982,0,-0.03247256,4.3564444,Non-Crop
869,0.22320183,0.24528837,0.30421126,0,-0.001915243,5.7734375,Non-Crop
870,0.20529032,0.22696823,0.34489134,0,-0.008990105,4.7181277,Non-Crop
871,0.19844812,0.24138926,0.34322917,1,-0.015638266,0,Crop
